freq,freq1,mag1
0,0.0,2.8154183837614255e-06
1,1.0015488805817614,3.575382652343251e-05
2,2.003097761163523,9.401065472047776e-05
3,3.004646641745284,4.911015275865793e-05
4,4.006195522327046,4.075531251146458e-05
5,5.007744402908807,5.8267705753678456e-05
6,6.009293283490568,5.514052099897526e-05
7,7.01084216407233,2.1013700461480767e-05
8,8.012391044654091,2.0228393623256125e-05
9,9.013939925235853,2.122947626048699e-05
10,10.015488805817615,2.329731432837434e-05
11,11.017037686399375,1.250511922989972e-05
12,12.018586566981137,1.0450472473166883e-05
13,13.020135447562899,1.3745300748269074e-05
14,14.02168432814466,2.9103855922585353e-05
15,15.02323320872642,3.4677668736549094e-06
16,16.024782089308182,1.8243008526042104e-05
17,17.026330969889944,2.2334845198201947e-05
18,18.027879850471706,3.877486233250238e-05
19,19.029428731053468,5.339039125829004e-05
20,20.03097761163523,1.0759272299765144e-05
21,21.03252649221699,2.0299956304370426e-05
22,22.03407537279875,3.541510523064062e-05
23,23.03562425338051,4.7318935685325414e-05
24,24.037173133962273,5.141142901265994e-05
25,25.038722014544035,3.84473787562456e-05
26,26.040270895125797,3.396491956664249e-05
27,27.04181977570756,1.6279896954074502e-05
28,28.04336865628932,2.1489719074452296e-05
29,29.044917536871083,2.1604242647299543e-05
30,30.04646641745284,5.088857506052591e-05
31,31.048015298034603,5.386147677199915e-06
32,32.049564178616365,4.812802581000142e-05
33,32.95095817113995,4.3514581193448976e-05
34,33.95250705172171,7.953621388878673e-05
35,34.954055932303476,4.7577093937434256e-05
36,35.955604812885234,1.7328060494037345e-05
37,36.957153693467,5.218200385570526e-05
38,37.95870257404876,1.082078324543545e-05
39,38.960251454630516,1.4762144928681664e-05
40,39.96180033521228,5.293868889566511e-05
41,40.96334921579404,1.346694534731796e-05
42,41.964898096375805,2.8311487767496146e-05
43,42.96644697695756,2.679816861927975e-05
44,43.96799585753933,3.252856549806893e-05
45,44.96954473812109,3.204855966032483e-05
46,45.97109361870285,4.8023168346844614e-05
47,46.97264249928461,2.7934896934311837e-05
48,47.97419137986637,3.6041801649844274e-05
49,48.975740260448134,2.9889131837990135e-05
50,49.97728914102989,3.4690965549089015e-05
51,50.97883802161166,6.6720012910082005e-06
52,51.980386902193416,3.0019800760783255e-05
53,52.98193578277518,2.4255719836219214e-05
54,53.98348466335694,2.330940515093971e-05
55,54.985033543938705,2.6124062060262077e-05
56,55.98658242452046,3.0449062251136638e-05
57,56.98813130510222,2.7103265892947093e-05
58,57.98968018568399,6.0537517128977925e-05
59,58.991229066265745,1.963323120435234e-05
60,59.99277794684751,3.0847473681205884e-05
61,60.99432682742927,4.423956852406263e-06
62,61.995875708011035,5.4181302402867004e-05
63,62.99742458859279,2.5157336494885385e-05
64,63.99897346917456,3.28069509123452e-05
65,65.00052234975631,6.692483111692127e-06
66,66.00207123033807,1.5816825907677412e-05
67,67.00362011091984,5.3426679187396076e-06
68,68.0051689915016,2.751954525592737e-05
69,69.00671787208336,1.658010842220392e-05
70,70.00826675266512,4.346912191977026e-06
71,71.00981563324689,4.325941335991956e-05
72,72.01136451382865,1.6761681763455272e-05
73,73.0129133944104,1.6230856999754906e-05
74,74.01446227499217,4.691609319706913e-06
75,75.01601115557393,1.1756773346860427e-05
76,76.01756003615569,1.5855090168770403e-05
77,77.01910891673745,2.1489020582521334e-05
78,78.02065779731922,1.2839220289606601e-05
79,79.02220667790098,6.455065886257216e-06
80,80.02375555848273,6.025949460308766e-06
81,81.0253044390645,1.885568053694442e-05
82,82.02685331964626,1.2199898264952935e-05
83,83.02840220022802,2.2224808162718546e-06
84,84.02995108080978,1.0819908311532345e-05
85,85.03149996139155,1.3198509805079084e-05
86,86.03304884197331,2.455582216498442e-05
87,87.03459772255506,1.3128421414876357e-05
88,88.03614660313683,8.001978130778298e-06
89,89.0376954837186,1.8063192328554578e-05
90,90.03924436430034,1.575410169607494e-05
91,91.04079324488211,1.3551105439546518e-05
92,92.04234212546388,3.9926535464474e-06
93,93.04389100604564,1.1349277883709874e-05
94,94.04543988662739,9.086714271688834e-06
95,95.04698876720916,1.4071877558308188e-05
96,96.04853764779092,3.0361759854713455e-05
97,96.9499316403145,5.364218395698117e-06
98,97.95148052089627,6.551592832693132e-06
99,98.95302940147803,1.6068175909822457e-06
100,99.95457828205979,1.840035656641703e-05
101,100.95612716264155,8.909278221835848e-06
102,101.95767604322332,1.0368636139901355e-05
103,102.95922492380507,1.1119530427095015e-05
104,103.96077380438683,9.55411269387696e-06
105,104.9623226849686,1.2750782843795605e-05
106,105.96387156555036,2.761114501481643e-06
107,106.96542044613211,9.501935892330948e-06
108,107.96696932671388,2.9595039450214244e-05
109,108.96851820729565,2.5533804546284955e-06
110,109.97006708787741,1.616674489923753e-05
111,110.97161596845916,1.5532801626250148e-05
112,111.97316484904093,1.8177157471654937e-05
113,112.97471372962269,1.9617336874944158e-05
114,113.97626261020444,2.1562820620601997e-05
115,114.97781149078621,3.9218361052917317e-05
116,115.97936037136797,2.9716982680838555e-05
117,116.98090925194974,6.458671578002395e-06
118,117.98245813253149,3.5700391890713945e-05
119,118.98400701311326,3.112534250249155e-05
120,119.98555589369502,1.2805048754671589e-05
121,120.98710477427677,1.722269007586874e-05
122,121.98865365485854,6.167266292322893e-06
123,122.9902025354403,2.1077601559227332e-05
124,123.99175141602207,2.017105362028815e-05
125,124.99330029660382,6.952244348212844e-06
126,125.99484917718559,7.670562808925752e-06
127,126.99639805776735,6.331566510198172e-06
128,127.99794693834912,1.9396995412535034e-05
129,128.99949581893088,3.666787961265072e-05
130,130.00104469951262,1.6542935554753058e-05
131,131.00259358009438,1.4320035006676335e-05
132,132.00414246067615,3.3526544029882643e-06
133,133.00569134125791,4.28951079811668e-06
134,134.00724022183968,6.568957815034082e-06
135,135.00878910242145,5.2475056691037025e-06
136,136.0103379830032,4.828157670999644e-06
137,137.01188686358495,1.5486029951716773e-05
138,138.0134357441667,3.602227479859721e-06
139,139.01498462474848,9.856983524514362e-06
140,140.01653350533024,1.085294206859544e-05
141,141.018082385912,1.1406003977754153e-05
142,142.01963126649378,6.78047808833071e-06
143,143.02118014707554,1.0615302016958594e-05
144,144.0227290276573,2.342444349778816e-05
145,145.02427790823904,9.142974704445805e-06
146,146.0258267888208,1.091707144951215e-05
147,147.02737566940257,1.088421959138941e-05
148,148.02892454998434,7.960697985254228e-06
149,149.0304734305661,1.545055420137942e-05
150,150.03202231114787,2.922977728303522e-06
151,151.03357119172964,1.0060027307190467e-05
152,152.03512007231137,1.1800162610597908e-05
153,153.03666895289314,1.544131555419881e-05
154,154.0382178334749,3.636308974819258e-05
155,155.03976671405667,7.044370704534231e-06
156,156.04131559463843,2.2293204892775975e-05
157,157.0428644752202,9.62368449108908e-06
158,158.04441335580196,1.5238873857015278e-05
159,159.0459622363837,1.8565073332865722e-05
160,160.04751111696547,1.3541448424803093e-05
161,161.04905999754723,1.3340651094040368e-05
162,161.95045399007083,6.3872553255350795e-06
163,162.9520028706526,7.2102038757293485e-06
164,163.95355175123436,1.588549821462948e-05
165,164.9551006318161,1.1555562196008395e-05
166,165.95664951239786,3.634862878243439e-06
167,166.95819839297963,1.9096261894446798e-05
168,167.9597472735614,2.210047114203917e-06
169,168.96129615414316,9.88250849331962e-06
170,169.96284503472492,2.386850155744469e-06
171,170.9643939153067,1.4789656233915593e-05
172,171.96594279588842,7.315534276131075e-06
173,172.9674916764702,8.129567504511215e-06
174,173.96904055705195,1.6296513422275893e-05
175,174.97058943763372,8.358183549717069e-07
176,175.97213831821549,1.591109139553737e-05
177,176.97368719879725,1.3944845704827458e-05
178,177.97523607937902,4.989261924492894e-06
179,178.97678495996075,9.969882739824243e-06
180,179.97833384054252,1.3447258425003383e-05
181,180.97988272112428,1.358407644147519e-05
182,181.98143160170605,1.1393886779842433e-05
183,182.98298048228781,4.308596089686034e-06
184,183.98452936286958,3.856525381706888e-06
185,184.98607824345135,1.456245081499219e-05
